geohash,value
xnecec,29.0
xnecee,37.0
xnecef,32.714285714285715
xneceq,40.80769230769231
xnecer,29.8
xneces,35.857142857142854
xnecet,38.44444444444444
xnecew,37.5
xnecg2,33.629629629629626
xneck7,37.0
xneckd,38.75
xnecke,38.5
xneckk,33.666666666666664
xneckm,37.625
xneckn,35.0
xneckp,33.57142857142857
xneckq,39.6
xnecs0,37.333333333333336
xnecs1,32.25
xnedpq,284.0
xnedps,284.0
xnedvy,313.0
xnedwq,294.0
xnedwr,307.0
xnedws,289.0
xnedy3,318.0
xnedyj,317.0
xneegz,310.0
xneejb,315.0
xneejd,309.0
xneeje,313.0
xneejr,319.0
xneejt,310.0
xneeky,325.0
xneem3,319.0
xneem5,329.0
xneemh,327.0
xneesb,325.0
xneese,330.0
xneesf,328.0
xneesr,329.0
xneest,330.0
xneeu2,328.0
xneeu6,325.0
xneeuh,318.0
xneeun,322.0
xnekzz,274.0
xnemcx,306.0
xnemcy,316.0
xnemeq,323.0
xnemet,329.0
xnemeu,322.0
xnemf7,306.0
xnemfc,311.0
xnemfd,304.0
xnemfj,307.0
xnemg0,323.0
xnemkz,313.0
xnemme,308.0
xnemmf,300.0
xnemmj,310.0
xnemmk,307.0
xnemnr,282.0
xnemnv,287.0
xnemp7,284.0
xnempb,287.0
xnempd,295.0
xnemph,281.0
xnemq0,287.0
xnems3,315.0
xnems5,317.0
xnems8,317.0
xnemzc,41.03030303030303
xnemzd,39.208333333333336
xnemze,36.357142857142854
xnemzf,46.166666666666664
xnemzg,37.54545454545455
xnemzr,32.36363636363637
xnemzu,37.2
xnemzv,37.8
xnemzw,41.75
xnemzx,39.0
xnemzy,35.827586206896555
xnemzz,35.875
xneq0g,294.0
xneq0r,308.0
xneq0v,297.0
xneq0w,299.0
xneq13,307.0
xneq14,302.0
xneqp2,28.0
xneqp8,29.714285714285715
xneqp9,35.0
xneqpb,37.5
xneqpd,41.2
xneqpf,42.583333333333336
xneqpg,37.22222222222222
xneqpj,33.46153846153846
xneqpm,48.266666666666666
xneqpn,40.4375
xneqpp,26.2
xneqpt,33.11764705882353
xneqpu,36.77777777777778
xneqpv,33.0
xneqqf,31.391304347826086
xneqr0,38.75
xneqr1,37.375
xneqr4,30.625
xnes5c,297.0
xnes5e,289.0
xnes5q,290.0
xnes5s,301.0
xnes6g,283.0
xnes6v,275.0
xnes6w,279.0
xnes71,277.0
xnes72,285.0
xnes9r,291.0
xnes9u,303.0
xnes9w,292.0
xnesbe,287.0
xnesbf,285.0
xnesbk,282.0
xnesbn,280.0
xnesc0,293.0
xnesd2,281.0
xnesd3,280.0
xnesd5,290.0
xneser,31.0
xnesev,37.6
xnesex,36.63333333333333
xnesey,37.07142857142857
xnesez,34.5
xnesfe,31.166666666666668
xnesff,35.0
xnesfg,34.0
xnesfk,29.666666666666668
xnesfm,35.714285714285715
xnesfp,30.0
xnesfq,39.166666666666664
xnesfr,36.5
xnesfs,31.0
xnesg1,30.8
xnesg2,33.53333333333333
xnesg3,35.5
xnesg4,26.1
xnessj,33.1
xnessm,38.666666666666664
xnessn,32.0
xnesst,41.583333333333336
xnessw,40.875
xnessx,37.0
xnessz,36.38461538461539
xnestp,44.0
xnestr,32.25
xnestx,29.6
xnestz,38.09090909090909
xnesv0,33.142857142857146
xnesv2,34.27272727272727
xneswr,35.65384615384615
xnesww,46.72727272727273
xneswx,44.92307692307692
xneswy,41.142857142857146
xnesxn,43.22222222222222
xnesxp,38.0
xnesxr,48.76923076923077
xnesxz,35.625
xnesz8,46.083333333333336
xneszb,39.0
xnet1z,46.0
xnet21,27.714412811387902
xnet23,39.744089589382
xnet2e,40.833333333333336
xnet2g,50.0
xnet2h,32.28767123287671
xnet2j,31.41176470588235
xnet2k,36.96969696969697
xnet2m,32.91111111111111
xnet2q,31.0
xnet2u,38.7
xnet2v,42.69230769230769
xnet2w,29.8
xnet2x,31.083333333333332
xnet2y,49.875
xnet3b,43.1
xnet3c,41.3
xnet3d,32.6
xnet3e,33.55555555555556
xnet3f,31.4
xnet3j,45.3125
xnet3k,34.75
xnet3m,46.84
xnet3n,44.375
xnet3q,38.6
xnet3r,36.125
xnet3s,33.77777777777778
xnet3t,35.76502732240437
xnet3w,33.68421052631579
xnet3y,42.5
xnet40,25.166666666666668
xnet41,30.375
xnet44,49.9
xnet45,41.333333333333336
xnet4h,39.166666666666664
xnet4j,37.57142857142857
xnet4n,38.375
xnet4p,42.4
xnet6k,43.0
xnet6m,40.416666666666664
xnet6n,39.23076923076923
xnet6s,44.25
xnet6t,43.642857142857146
xnet6v,46.4
xnet6y,38.625
xnet6z,42.125
xnet7p,48.0
xnet88,40.76923076923077
xnet8b,40.5
xnet8c,40.083333333333336
xnet8g,36.4
xnet8s,38.3
xnet8t,29.727272727272727
xnet8u,40.22222222222222
xnet8w,40.72727272727273
xnet8x,33.371428571428574
xnet8z,46.90909090909091
xnet91,43.666666666666664
xnet92,45.25
xnet93,50.0
xnet94,41.21052631578947
xnet95,36.806451612903224
xnet96,52.2
xnet97,45.0
xnet9d,49.666666666666664
xnet9e,42.5
xnet9g,39.5
xnet9h,32.0
xnet9j,36.166666666666664
xnet9m,34.77272727272727
xnet9n,42.8
xnet9q,38.628571428571426
xnet9t,39.523809523809526
xnet9u,46.166666666666664
xnet9v,40.645161290322584
xnet9w,37.10526315789474
xnetb0,56.111111111111114
xnetb1,54.31578947368421
xnetb2,41.44827586206897
xnetb8,40.82857142857143
xnetbb,39.0
xnetd3,42.875
xnetd4,43.8
xnetd5,46.0
xnetd9,43.285714285714285
xnetdc,37.666666666666664
xnetdf,32.0
xnetdj,43.17142857142857
xnetdm,44.77142857142857
xnetds,40.63636363636363
xnetdt,45.5
xnetdu,40.05714285714286
xnete0,46.0
xnete1,44.2
xnete3,37.38351254480287
xnete4,30.0
xnete5,34.0
xnete6,36.333333333333336
xnete7,31.736842105263158
xnete9,36.08620689655172
xnetec,46.51020408163265
xnetee,35.833333333333336
xnetef,35.5
xneteg,32.25
xneteh,36.47727272727273
xnetek,37.8
xnetjz,38.0
xnetkr,39.175
xnetkt,40.3
xnetku,42.77777777777778
xnetkv,39.333333333333336
xnetkw,41.520833333333336
xnetkx,42.13333333333333
xnetm1,41.03333333333333
xnetm2,39.655913978494624
xnetm3,43.42857142857143
xnetm4,37.34432234432234
xnetm5,38.72727272727273
xnetm7,49.0
xnetm8,42.69117647058823
xnetmb,39.0
xnetme,35.57142857142857
xnetmg,28.0
xnetmh,42.6
xnetmk,55.416666666666664
xnetmn,48.5
xnetmp,48.25
