geohash,value
xnececzvd,29.0
xneceemgv,38.0
xneceemtf,37.0
xneceentw,36.0
xneceeq66,39.0
xneceeq8m,41.0
xneceesfu,36.0
xneceeste,37.0
xneceet0r,36.0
xneceeu95,34.0
xneceeukv,36.0
xnecefngn,30.0
xnecefnmh,28.0
xnecefns6,30.0
xnecefnwb,30.0
xnecefp2y,29.0
xnecefq8k,30.0
xnecefqc8,30.0
xnecefqf6,32.0
xnecefqfe,33.0
xnecefqfv,34.0
xnecefr42,40.0
xnecefr49,37.0
xnecefr4b,35.0
xnecequ4f,32.0
xnecequ60,29.0
xnecequdt,30.0
xnecequj3,29.0
xneceqv5j,32.0
xneceqvsm,35.0
xneceqwzq,39.0
xneceqxcf,39.0
xneceqxkr,41.0
xneceqy99,29.0
xneceqyjy,38.0
xneceqyk3,35.0
xneceqyn2,38.0
xneceqynm,44.0
xneceqynw,47.583333333333336
xnecer5bx,30.0
xnecer5gu,30.0
xnecer5z6,30.0
xnecer7dz,28.0
xnecer7wh,28.0
xnecere9d,33.0
xneceremp,31.0
xnecerg2m,32.0
xnecergk4,29.0
xnecergpr,27.0
xneces5rn,37.0
xneces5u4,36.0
xneces6vs,36.0
xneces71b,35.0
xnecesdc8,36.0
xnecesdts,34.0
xnecesf96,34.0
xnecesfkx,35.0
xnecesfqh,36.75
xnecesfqs,37.0
xnecesh0s,35.0
xnecet1zw,31.0
xnecet3g7,33.0
xnecet3yb,45.0
xnecet422,35.0
xnecet45d,30.0
xnecet9dv,47.0
xnecet9wf,47.0
xnecetc7h,42.0
xnecetcnf,36.0
xnecew0fb,37.0
xnecew0w9,39.0
xnecew26d,37.0
xnecew2n7,37.0
xnecg24xx,32.5
xnecg24xy,34.5
xnecg24xz,33.625
xnecg24z8,35.0
xnecg24zr,31.0
xnecg24zs,31.0
xnecg254s,29.0
xnecg25j6,31.0
xnecg268n,39.5
xneck7xy3,35.0
xneck7z69,38.0
xneck7zps,38.0
xneckd9vc,38.0
xneckdcd3,40.0
xneckdcrp,39.0
xneckdd1v,38.0
xnecke1kr,39.0
xnecke2y5,38.0
xnecke31r,40.0
xnecke86s,37.0
xneckkphg,34.0
xneckkr44,31.0
xneckkrp3,35.0
xneckkwux,35.0
xneckky9q,35.0
xneckkyjq,32.0
xneckm7vg,40.0
xneckmdyv,39.0
xneckme67,40.0
xneckmf7p,39.0
xneckmfpf,41.0
xneckmhvy,34.0
xneckmj9b,31.0
xneckmk3u,37.0
xnecknzen,37.0
xnecknzrd,33.0
xneckpnur,32.0
xneckpqce,33.0
xneckpqyb,33.0
xneckpwev,36.0
xneckpy7f,34.0
xneckpy84,31.0
xneckpypd,36.0
xneckq1sk,37.0
xneckq2v7,40.0
xneckq30x,37.0
xneckq83z,42.0
xneckq8ne,42.0
xnecs0gge,36.0
xnecs0gqt,34.0
xnecs0jg7,33.0
xnecs0jw6,36.0
xnecs0kgs,43.0
xnecs0kzf,41.0
xnecs0m0e,36.0
xnecs0ssq,40.0
xnecs0u2k,37.0
xnecs13rs,32.0
xnecs13uv,35.0
xnecs14yg,37.0
xnecs154g,39.0
xnecs166r,33.0
xnecs18gr,29.0
xnecs18wf,25.0
xnecs1b4q,28.0
xnedpqty4,284.0
xnedpscpx,284.0
xnedvyy41,313.0
xnedwqpnd,294.0
xnedwrgtu,307.0
xnedws6rx,289.0
xnedy38hz,318.0
xnedyj17j,317.0
xneegztzt,310.0
xneejbd9h,315.0
xneejdr20,309.0
xneejegzj,313.0
xneejrmjp,319.0
xneejt8w4,310.0
xneekyxhn,325.0
xneem33nz,319.0
xneem5jyh,329.0
xneemhft1,327.0
xneesb7gh,325.0
xneesev2b,330.0
xneesf09f,328.0
xneesrnwq,329.0
xneest3zx,330.0
xneeu2gmh,328.0
xneeu685c,325.0
xneeuhkdm,318.0
xneeun12f,322.0
xnekzzrzq,274.0
xnemcxzdy,306.0
xnemcyx9w,316.0
xnemeqzew,323.0
xnemetxdw,329.0
xnemeur9m,322.0
xnemf7zxw,306.0
xnemfcrtw,311.0
xnemfdxwq,304.0
xnemfjr8t,307.0
xnemg0psx,323.0
xnemkzpmp,313.0
xnemmer4p,308.0
xnemmfp0u,300.0
xnemmjzkh,310.0
xnemmkx74,307.0
xnemnrqyw,282.0
xnemnvbmn,287.0
xnemp7268,284.0
xnempbb03,287.0
xnempd01s,295.0
